"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"188","Da'Mari Scott (FA)","2","3","22","11.0","11","0","0","1","5","0","0","5","3.7","0.7","0.0%"
"189","Cam Sims (WAS)","2","3","27","13.5","15","0","0","0","0","0","0","8","3.7","0.5","0.2%"
"190","Chris Moore (HOU)","3","5","21","7.0","13","0","0","1","0","0","0","14","3.6","0.3","0.0%"
"191","Ryan Grant (FA)","4","9","14","3.5","9","0","0","0","0","0","0","2","3.4","1.7","0.0%"
"192","Marqise Lee (FA)","3","4","18","6.0","8","0","0","1","1","0","0","6","3.4","0.6","0.0%"
"193","Stanley Morgan Jr. (CIN)","3","10","18","6.0","9","0","0","0","0","0","0","11","3.3","0.3","0.0%"
"194","Fred Brown (TEN)","2","3","21","10.5","16","0","0","0","0","0","0","13","3.1","0.2","0.0%"
"195","Josh Bellamy (FA)","2","3","20","10.0","15","0","0","0","0","0","0","7","3.0","0.4","0.0%"
"196","Bobo Wilson (FA)","3","11","35","11.7","14","0","0","0","0","0","1","6","3.0","0.5","0.1%"
"197","Darius Jennings (FA)","2","5","17","8.5","11","0","0","0","0","0","0","8","2.7","0.3","0.0%"
"198","Ashton Dulin (IND)","2","2","17","8.5","13","0","0","0","0","0","0","13","2.7","0.2","0.0%"
"199","Robert Davis (LV)","2","5","17","8.5","11","0","0","0","0","0","0","6","2.7","0.5","0.0%"
"200","Gunner Olszewski (NE)","2","4","34","17.0","29","1","0","0","0","0","1","8","2.4","0.3","0.1%"
"201","Mike Thomas (CIN)","2","5","14","7.0","9","0","0","0","0","0","0","16","2.4","0.2","0.1%"
"202","Cody Hollister (TEN)","2","2","13","6.5","11","0","0","0","0","0","0","5","2.3","0.5","0.0%"
"203","Rashard Davis (FA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"204","Jeff Smith (NYJ)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"205","De'Anthony Thomas (FA)","1","2","6","6.0","6","0","0","2","5","0","0","14","1.6","0.1","0.0%"
"206","John Ursua (SEA)","1","1","11","11.0","11","0","0","0","0","0","0","3","1.6","0.5","0.0%"
"207","Austin Carr (FA)","1","4","9","9.0","9","0","0","0","0","0","0","7","1.4","0.2","0.0%"
"208","Dwayne Harris (FA)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.2","0.4","0.0%"
"209","Jaleel Scott (FA)","1","3","6","6.0","6","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"210","Krishawn Hogan (CAR)","1","1","4","4.0","4","0","0","0","0","0","0","8","0.9","0.1","0.0%"
"211","Cyril Grayson Jr. (TB)","1","1","3","3.0","3","0","0","0","0","0","0","2","0.8","0.4","0.0%"
