"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"118","Saquon Barkley (NYG)","19","34","1.8","18","0","0","6","9","60","10.0","0","0","2","12.4","6.2","99.8%"
"119","Keith Smith (ATL)","4","7","1.8","3","0","0","11","15","59","5.4","0","0","16","12.1","0.8","0.0%"
"120","Jaylen Samuels (PIT)","9","28","3.1","6","0","0","9","14","46","5.1","0","0","14","11.9","0.9","0.5%"
"121","J.J. Taylor (NE)","23","110","4.8","28","0","0","1","2","4","4.0","0","0","6","11.9","2.0","0.2%"
"122","Tevin Coleman (NYJ)","28","53","1.9","12","0","0","4","5","34","8.5","0","0","8","10.7","1.3","15.0%"
"123","Justice Hill (BAL)","12","60","5.0","19","0","0","5","5","20","4.0","0","0","12","10.5","0.9","0.5%"
"124","C.J. Prosise (TB)","10","19","1.9","7","0","0","5","5","18","3.6","1","1","10","10.2","1.0","0.1%"
"125","Artavis Pierce (CHI)","6","34","5.7","23","0","1","0","0","0","0","0","0","5","9.4","1.9","0.0%"
"126","Devine Ozigbo (JAC)","1","1","1.0","1","0","0","9","9","42","4.7","0","0","8","8.8","1.1","0.1%"
"127","Reggie Gilliam (BUF)","0","0","0","0","0","0","2","2","16","8.0","1","0","14","8.6","0.6","0.0%"
"128","Theo Riddick (LV)","6","14","2.3","11","0","0","5","6","43","8.6","0","0","5","8.2","1.6","0.0%"
"129","Anthony Sherman (FA)","3","8","2.7","6","0","0","1","2","5","5.0","1","0","12","7.8","0.7","0.0%"
"130","Jonathan Ward (ARI)","0","0","0","0","0","0","1","1","11","11.0","1","0","14","7.6","0.5","0.1%"
"131","Buddy Howell (HOU)","16","64","4.0","9","0","0","1","2","3","3.0","0","0","14","7.2","0.5","0.0%"
"132","Marlon Mack (IND)","4","26","6.5","18","0","0","3","3","30","10.0","0","0","1","7.1","7.1","4.4%"
"133","Michael Burton (KC)","7","18","2.6","7","0","0","4","4","28","7.0","0","0","15","6.6","0.4","0.0%"
"134","Trenton Cannon (CAR)","10","33","3.3","13","0","0","3","3","16","5.3","0","0","14","6.4","0.5","0.0%"
"135","Khari Blasingame (TEN)","0","0","0","0","0","0","4","5","39","9.8","0","0","15","5.9","0.4","0.0%"
"136","Dontrell Hilliard (HOU)","9","48","5.3","19","0","0","1","1","2","2.0","0","0","7","5.5","0.8","0.0%"
"137","Alex Armah (NO)","6","9","1.5","3","0","0","5","9","18","3.6","0","0","16","5.2","0.3","0.0%"
"138","Elijhaa Penny (NYG)","6","15","2.5","5","0","0","2","3","20","10.0","0","0","14","4.5","0.3","0.1%"
"139","Austin Walter (NYJ)","1","3","3.0","3","0","0","1","1","27","27.0","0","0","4","3.5","0.9","0.0%"
"140","Rashaad Penny (SEA)","11","34","3.1","7","0","0","0","0","0","0","0","0","3","3.4","1.1","6.6%"
