"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Tyreek Hill (KC)","87","137","1,479","17.0","75","27","12","22","151","1","0","16","284.5","17.8","99.8%"
"2","DeAndre Hopkins (ARI)","115","163","1,572","13.7","49","23","11","1","-7","0","2","16","276.0","17.3","99.8%"
"3","Davante Adams (GB)","111","169","1,386","12.5","57","18","13","0","0","0","0","15","274.1","18.3","99.8%"
"4","Antonio Brown (TB)","104","169","1,297","12.5","78","17","15","0","0","0","0","15","271.7","18.1","74.5%"
"5","Julio Jones (TEN)","113","170","1,677","14.8","58","24","8","2","12","0","2","16","269.3","16.8","98.9%"
"6","Michael Thomas (NO)","125","147","1,405","11.2","72","17","9","0","0","0","2","16","253.0","15.8","97.0%"
"7","Adam Thielen (MIN)","113","153","1,373","12.2","68","17","9","5","30","0","1","16","250.8","15.7","98.1%"
"8","JuJu Smith-Schuster (PIT)","111","166","1,426","12.8","97","18","7","1","13","0","1","16","241.4","15.1","92.3%"
"9","Mike Evans (TB)","86","139","1,524","17.7","72","26","8","0","0","0","1","16","241.4","15.1","99.3%"
"10","Robert Woods (LAR)","86","131","1,219","14.2","39","20","6","19","157","1","0","16","222.6","13.9","97.1%"
"11","Stefon Diggs (BUF)","102","148","1,021","10.0","75","13","9","10","62","0","0","15","215.3","14.4","99.8%"
"12","Keenan Allen (LAC)","97","137","1,196","12.3","54","13","6","9","75","0","1","16","211.6","13.2","99.4%"
"13","Brandin Cooks (HOU)","80","116","1,204","15.1","57","22","5","10","68","1","0","16","203.2","12.7","89.0%"
"14","T.Y. Hilton (IND)","76","120","1,270","16.7","68","22","6","0","0","0","0","14","201.0","14.4","58.4%"
"15","Tyler Lockett (SEA)","57","71","965","16.9","52","17","10","13","69","0","0","16","193.9","12.1","96.7%"
"16","Odell Beckham Jr. (CLE)","77","124","1,052","13.7","51","17","6","5","19","0","1","12","191.9","16.0","93.9%"
"17","Tyler Boyd (CIN)","76","108","1,028","13.5","49","21","7","2","3","0","0","14","183.1","13.1","86.6%"
"18","Amari Cooper (DAL)","75","107","1,004","13.4","90","10","7","2","20","0","2","15","177.9","11.9","98.1%"
"19","Jarvis Landry (CLE)","81","149","976","12.0","51","13","4","3","60","1","1","16","176.6","11.0","83.6%"
"20","Calvin Ridley (ATL)","64","92","821","12.8","75","11","10","6","27","0","1","16","174.8","10.9","99.5%"
"21","Kenny Golladay (NYG)","70","118","1,063","15.2","60","19","5","1","8","0","0","15","172.1","11.5","94.5%"
"22","Julian Edelman (FA)","74","108","850","11.5","36","12","6","9","107","0","0","12","170.4","14.2","2.2%"
"23","Emmanuel Sanders (BUF)","71","98","868","12.2","64","13","4","4","53","1","0","12","162.7","13.6","6.8%"
"24","Mike Williams (LAC)","43","66","664","15.4","55","11","10","7","28","1","0","16","158.7","9.9","59.0%"
"25","Chris Godwin (TB)","59","95","842","14.3","48","10","7","0","0","0","1","16","155.7","9.7","96.5%"
"26","Alshon Jeffery (FA)","65","92","843","13.0","52","9","6","0","0","0","0","13","152.8","11.8","0.2%"
"27","Larry Fitzgerald (FA)","69","112","734","10.6","37","8","6","0","0","0","0","16","151.2","9.5","0.4%"
"28","Corey Davis (NYJ)","65","112","891","13.7","51","15","4","6","55","0","0","16","151.1","9.4","69.3%"
"29","Adam Humphries (WAS)","76","105","816","10.7","51","7","5","2","11","0","0","16","150.7","9.4","1.1%"
"30","Sterling Shepard (NYG)","66","107","872","13.2","58","12","4","3","33","0","0","16","149.5","9.3","8.7%"
"31","Mohamed Sanu (SF)","66","94","838","12.7","44","7","4","7","44","0","1","16","149.4","9.3","0.1%"
"32","Golden Tate (FA)","74","113","795","10.7","67","9","4","4","34","0","0","15","145.9","9.7","0.3%"
"33","Dede Westbrook (MIN)","66","101","717","10.9","61","15","5","9","98","0","2","16","140.6","8.8","0.3%"
"34","Zay Jones (LV)","56","102","652","11.6","57","7","7","1","0","0","0","16","137.2","8.6","0.1%"
"35","Nelson Agholor (NE)","64","97","736","11.5","83","10","4","3","32","0","0","16","133.4","8.3","26.8%"
"36","Robby Anderson (CAR)","50","93","752","15.0","76","10","6","2","-8","0","2","14","131.4","9.4","89.3%"
"37","DeSean Jackson (LAR)","41","74","774","18.9","75","13","4","6","29","1","0","12","130.8","10.9","2.2%"
"38","D.J. Moore (CAR)","55","82","788","14.3","82","9","2","13","172","0","3","16","129.5","8.1","95.1%"
"39","Demaryius Thomas (FA)","59","89","677","11.5","45","9","5","0","0","0","0","15","127.2","8.5","0.1%"
"40","A.J. Green (ARI)","46","77","694","15.1","38","12","6","0","0","0","1","9","126.4","14.0","24.5%"
"41","Allen Robinson II (CHI)","55","94","754","13.7","43","11","4","1","9","0","1","13","125.8","9.7","99.2%"
"42","Jordy Nelson (FA)","63","88","739","11.7","66","7","3","1","-2","0","0","15","125.2","8.3","0.1%"
"43","John Brown (LV)","42","97","715","17.0","71","11","5","3","4","0","0","16","122.9","7.7","13.8%"
"44","Taylor Gabriel (FA)","67","93","688","10.3","54","7","2","9","61","0","1","16","118.4","7.4","0.1%"
"45","Josh Gordon (SEA)","41","71","737","18.0","55","12","4","0","0","0","0","12","118.2","9.9","2.6%"
"46","Cole Beasley (BUF)","65","86","672","10.3","32","3","3","0","0","0","0","16","117.7","7.4","68.0%"
"47","Curtis Samuel (WAS)","39","65","494","12.7","53","6","5","8","84","2","1","13","117.3","9.0","82.6%"
"48","Tyrell Williams (DET)","41","64","653","15.9","75","11","5","2","15","0","0","16","117.3","7.3","7.7%"
"49","Doug Baldwin (FA)","50","73","618","12.4","42","9","5","0","0","0","0","13","116.8","9.0","0.0%"
"50","Kenny Stills (BUF)","37","64","553","14.9","75","7","6","0","0","0","0","15","115.9","7.7","0.1%"
"51","Courtland Sutton (DEN)","42","84","704","16.8","42","16","4","1","-1","0","0","16","115.3","7.2","90.0%"
"52","Cooper Kupp (LAR)","40","55","566","14.2","70","9","6","4","25","0","0","8","115.1","14.4","94.3%"
"53","Antonio Callaway (KC)","43","79","586","13.6","71","8","5","2","7","0","1","16","110.8","6.9","0.1%"
"54","Donte Moncrief (HOU)","48","90","668","13.9","80","7","3","0","0","0","1","16","106.8","6.7","0.0%"
"55","Michael Crabtree (FA)","54","100","607","11.2","27","6","3","0","0","0","0","16","105.7","6.6","0.1%"
"56","Anthony Miller (HOU)","33","54","423","12.8","55","6","7","6","26","0","0","15","103.7","6.9","1.1%"
"57","Willie Snead IV (LV)","62","95","651","10.5","28","5","1","1","13","0","0","16","103.4","6.5","0.3%"
"58","Christian Kirk (ARI)","43","68","590","13.7","75","8","3","3","35","0","0","12","102.0","8.5","3.8%"
"59","Devin Funchess (GB)","44","79","549","12.5","27","8","4","0","0","0","0","14","100.9","7.2","0.3%"
"60","Rashard Higgins (CLE)","39","53","572","14.7","40","11","4","0","0","0","1","13","98.7","7.6","1.2%"
"61","Marvin Jones Jr. (JAC)","35","62","508","14.5","39","5","5","0","0","0","0","9","98.3","10.9","62.8%"
"62","Danny Amendola (FA)","59","79","575","9.7","39","4","1","1","-2","0","0","15","97.9","6.5","0.1%"
"63","Sammy Watkins (BAL)","40","55","519","13.0","50","7","3","5","52","0","0","10","95.1","9.5","3.8%"
"64","Kendrick Bourne (NE)","42","66","487","11.6","33","6","4","0","0","0","0","16","93.7","5.9","1.2%"
"65","Marquez Valdes-Scantling (GB)","38","72","581","15.3","60","8","2","2","29","0","0","16","92.0","5.8","2.9%"
"66","Chester Rogers (TEN)","53","72","485","9.2","34","5","2","1","-4","0","0","16","90.6","5.7","0.0%"
"67","Will Fuller V (MIA)","32","45","503","15.7","73","7","4","0","0","0","0","7","90.3","12.9","82.6%"
"68","Dante Pettis (NYG)","27","45","467","17.3","75","9","5","1","-2","0","0","12","90.0","7.5","0.1%"
"69","Chris Hogan (NO)","35","53","532","15.2","63","11","3","0","0","0","0","16","88.7","5.5","0.1%"
"70","David Moore (CAR)","26","52","445","17.1","54","8","5","1","5","0","0","16","88.0","5.5","0.5%"
"71","Josh Doctson (FA)","44","78","532","12.1","32","7","2","0","0","0","0","15","87.2","5.8","0.0%"
"72","Tre'Quan Smith (NO)","28","44","427","15.3","62","6","5","0","0","0","0","15","86.7","5.8","10.0%"
"73","Robert Foster (MIA)","27","45","541","20.0","75","9","3","0","0","0","0","13","85.6","6.6","0.0%"
"74","Josh Reynolds (TEN)","29","53","402","13.9","33","6","5","2","8","0","0","16","85.5","5.3","1.4%"
"75","Seth Roberts (FA)","45","64","494","11.0","44","7","2","3","5","0","0","15","84.4","5.6","0.0%"
"76","Albert Wilson (MIA)","26","35","391","15.0","75","7","4","8","16","0","0","7","83.8","12.0","0.2%"
"77","Michael Gallup (DAL)","33","68","507","15.4","49","10","2","0","0","0","0","16","81.2","5.1","81.1%"
"78","Cordarrelle Patterson (ATL)","21","28","247","11.8","55","4","3","42","228","1","1","15","80.0","5.3","2.0%"
"79","Jarius Wright (FA)","43","59","447","10.4","33","8","1","2","39","0","1","16","76.1","4.8","0.0%"
"80","Marquise Goodwin (CHI)","23","43","395","17.2","67","5","4","4","9","0","0","11","75.9","6.9","0.3%"
"81","Chris Conley (HOU)","32","52","334","10.4","27","4","5","0","0","0","2","16","75.4","4.7","1.1%"
"82","John Ross (NYG)","21","58","210","10.0","39","3","7","4","9","0","0","13","74.4","5.7","0.4%"
"83","Keelan Cole Sr. (NYJ)","38","70","491","12.9","35","7","1","0","0","0","2","16","70.1","4.4","1.0%"
"84","Taywan Taylor (HOU)","37","56","466","12.6","55","3","1","0","0","0","1","13","69.1","5.3","0.0%"
"85","Jamison Crowder (NYJ)","29","50","388","13.4","79","4","2","4","30","0","0","9","68.3","7.6","29.0%"
"86","Quincy Enunwa (FA)","38","68","449","11.8","42","6","1","1","0","0","1","11","67.9","6.2","0.0%"
"87","Randall Cobb (GB)","38","61","383","10.1","75","4","2","0","0","0","1","9","67.4","7.5","11.6%"
"88","Phillip Dorsett II (JAC)","32","42","290","9.1","20","1","3","4","29","0","0","16","65.9","4.1","0.2%"
"89","Demarcus Robinson (KC)","22","33","288","13.1","89","3","4","0","0","0","0","16","63.8","4.0","1.7%"
"90","Dontrelle Inman (FA)","28","39","304","10.9","29","4","3","0","0","0","0","9","62.4","6.9","0.0%"
"91","Aldrick Robinson (FA)","17","35","231","13.6","40","2","5","0","0","0","0","14","61.6","4.4","0.0%"
"92","Jermaine Kearse (FA)","37","76","371","10.0","29","3","1","0","0","0","0","14","61.6","4.4","0.0%"
"93","Tajae Sharpe (ATL)","26","47","316","12.2","28","2","2","1","16","0","0","16","58.2","3.6","0.0%"
"94","Ryan Grant (FA)","35","52","334","9.5","23","3","1","0","0","0","0","14","56.9","4.1","0.0%"
"95","Kelvin Benjamin (NYG)","25","67","380","15.2","40","5","1","0","0","0","0","15","56.5","3.8","0.1%"
"96","Breshad Perriman (DET)","16","25","340","21.3","66","4","2","4","2","0","0","10","54.2","5.4","8.6%"
"97","Laquon Treadwell (JAC)","35","53","302","8.6","22","1","1","0","0","0","0","15","53.7","3.6","0.0%"
"98","Jaron Brown (ARI)","14","19","166","11.9","45","1","5","0","0","0","0","16","53.6","3.4","0.0%"
"99","Zach Pascal (IND)","27","46","268","9.9","28","1","2","2","10","0","0","16","53.3","3.3","0.5%"
"100","Geronimo Allison (DET)","20","30","303","15.2","64","4","2","0","0","0","0","5","52.3","10.5","0.1%"
"101","Jordan Matthews (SF)","20","28","300","15.0","56","3","2","0","0","0","0","14","52.0","3.7","0.0%"
"102","Allen Hurns (MIA)","20","36","295","14.8","49","6","2","0","0","0","0","16","51.5","3.2","0.1%"
"103","Ryan Switzer (CLE)","36","44","253","7.0","24","1","1","6","21","0","0","16","51.4","3.2","0.0%"
"104","DaeSean Hamilton (DEN)","30","46","243","8.1","24","1","2","0","0","0","0","14","51.3","3.7","0.1%"
"105","Jakeem Grant Sr. (MIA)","21","34","268","12.8","52","2","2","1","5","0","0","10","49.8","5.0","0.2%"
"106","Paul Richardson Jr. (FA)","20","35","262","13.1","46","5","2","2","9","0","0","7","49.1","7.0","0.0%"
"107","DeVante Parker (MIA)","24","47","309","12.9","46","3","1","0","0","0","0","11","48.9","4.4","53.3%"
"108","Keke Coutee (HOU)","28","41","287","10.3","40","2","1","3","0","0","0","6","48.7","8.1","0.6%"
"109","Tim Patrick (DEN)","23","41","315","13.7","26","6","1","3","17","0","1","16","48.7","3.0","1.6%"
"110","Pierre Garcon (FA)","24","45","286","11.9","25","5","1","0","0","0","0","8","46.6","5.8","0.0%"
"111","Maurice Harris (FA)","28","47","304","10.9","42","3","0","2","10","0","0","12","45.4","3.8","0.0%"
"112","Terrelle Pryor Sr. (FA)","16","30","252","15.8","44","5","2","1","-1","0","0","8","45.1","5.6","0.0%"
"113","Bruce Ellington (FA)","31","42","224","7.2","23","2","1","1","2","0","0","7","44.1","6.3","0.0%"
"114","Ted Ginn Jr. (FA)","17","30","209","12.3","42","3","2","3","26","0","1","5","44.0","8.8","0.0%"
"115","Equanimeous St. Brown (GB)","21","36","328","15.6","54","5","0","1","5","0","0","12","43.8","3.7","0.2%"
"116","Isaiah McKenzie (BUF)","18","30","179","9.9","23","1","0","10","66","2","1","8","43.5","5.4","0.3%"
"117","Trent Taylor (CIN)","26","40","215","8.3","23","1","1","0","0","0","0","14","42.5","3.0","0.1%"
"118","Torrey Smith (FA)","17","30","190","11.2","35","2","2","0","0","0","0","11","41.5","3.8","0.0%"
"119","TJ Jones (FA)","19","26","190","10.0","26","3","2","0","0","0","0","15","40.5","2.7","0.0%"
"120","Keith Kirkwood (CAR)","13","21","209","16.1","42","4","2","0","0","0","0","8","39.4","4.9","0.0%"
"121","Chris Moore (HOU)","19","25","196","10.3","30","3","1","5","17","0","0","16","36.8","2.3","0.0%"
"122","Trent Sherfield (SF)","19","28","210","11.1","21","1","1","0","0","0","0","13","36.5","2.8","0.0%"
"123","Martavis Bryant (FA)","19","27","266","14.0","47","6","0","3","23","0","1","8","36.4","4.6","0.0%"
"124","Russell Shepard (FA)","10","19","188","18.8","49","4","2","0","0","0","0","12","35.8","3.0","0.0%"
"125","James Washington (PIT)","16","38","217","13.6","47","3","1","0","0","0","0","14","35.7","2.6","1.1%"
