"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"262","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"263","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"264","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.2%"
"265","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0",""
"266","Tyler Ott (SEA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0",""
"267","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0",""
"268","Kevin McDermott (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"269","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"270","Stephen Anderson (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"271","Jerell Adams (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"272","David Grinnage (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"273","David Morgan II (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"274","Gabe Holmes (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Brian Parker (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"276","Mason Schreck (CIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"277","Jason Vander Laan (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"278","Jake Butt (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"279","Cole Hikutini (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","Bug Howard (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"281","Jason Croom (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"282","Evan Baylis (KC)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"283","Alex Ellis (LV)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"284","Temarrick Hemingway (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"285","Garrett Griffin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Cole Wick (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"287","Alan Cross (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"288","Erik Swoope (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"289","Kelvin Benjamin (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"290","Jordan Matthews (SF)","4","12","33","8.3","10","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"291","Richard Rodgers (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"292","Jerome Cunningham (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"293","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"294","Matt Lengel (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"295","Neal Sterling (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"296","Khari Lee (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"297","Daniel Crawford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
""
""
