"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"21","Jimmy Graham (CHI)","38","60","447","11.8","48","7","3","0","0","0","0","16","81.7","5.1","1.4%"
"22","Ryan Griffin (NYJ)","34","41","320","9.4","45","4","5","0","0","0","0","13","81.0","6.2","0.1%"
"23","Jacob Hollister (BUF)","41","59","349","8.5","22","3","3","0","0","0","0","11","73.4","6.7","0.2%"
"24","Cameron Brate (TB)","36","55","311","8.6","37","1","4","0","0","0","0","16","73.1","4.6","0.3%"
"25","Jordan Akins (HOU)","36","55","418","11.6","53","4","2","0","0","0","0","16","71.8","4.5","1.3%"
"26","Gerald Everett (SEA)","37","60","408","11.0","33","6","2","1","0","0","0","13","71.3","5.5","4.1%"
"27","Eric Ebron (PIT)","31","52","375","12.1","48","4","3","0","0","0","0","11","71.0","6.5","49.4%"
"28","Blake Jarwin (DAL)","31","41","365","11.8","42","8","3","0","0","0","0","16","70.0","4.4","5.2%"
"29","O.J. Howard (TB)","34","53","459","13.5","33","8","1","0","0","0","1","14","66.9","4.8","3.5%"
"30","Dawson Knox (BUF)","28","50","388","13.9","49","7","2","1","9","0","0","15","65.7","4.4","2.3%"
"31","T.J. Hockenson (DET)","32","59","367","11.5","39","6","2","0","0","0","0","12","64.7","5.4","96.5%"
"32","Vance McDonald (FA)","38","55","273","7.2","22","2","3","1","2","0","0","14","64.5","4.6","0.1%"
"33","Will Dissly (SEA)","23","27","262","11.4","38","3","4","1","7","0","0","6","62.4","10.4","0.9%"
"34","Hayden Hurst (ATL)","30","39","349","11.6","61","4","2","0","0","0","0","16","61.9","3.9","3.2%"
"35","Irv Smith Jr. (MIN)","36","47","311","8.6","29","5","2","0","0","0","0","16","61.1","3.8","62.1%"
"36","Kaden Smith (NYG)","31","42","268","8.6","32","3","3","0","0","0","0","9","60.3","6.7","0.1%"
"37","Nick Boyle (BAL)","31","43","321","10.4","35","4","2","0","0","0","0","16","59.6","3.7","0.2%"
"38","Foster Moreau (LV)","21","25","174","8.3","23","1","5","0","0","0","0","13","57.9","4.5","0.2%"
"39","Josh Hill (FA)","25","35","226","9.0","29","4","3","0","0","0","0","16","53.1","3.3","0.0%"
"40","Ricky Seals-Jones (WAS)","14","22","229","16.4","59","5","4","0","0","0","1","14","51.9","3.7","0.0%"
"41","C.J. Uzomah (CIN)","27","40","242","9.0","36","2","2","0","0","0","0","16","49.7","3.1","0.9%"
"42","Delanie Walker (FA)","21","31","215","10.2","29","1","2","0","0","0","0","7","44.0","6.3","0.1%"
"43","Jeremy Sprinkle (DAL)","26","40","241","9.3","23","2","1","0","0","0","0","16","43.1","2.7","0.1%"
"44","Demetrius Harris (FA)","15","27","149","9.9","23","2","3","0","0","0","0","15","42.4","2.8","0.0%"
"45","Charles Clay (FA)","18","24","237","13.2","47","4","1","0","0","0","0","15","38.7","2.6","0.0%"
"46","James O'Shaughnessy (JAC)","14","20","153","10.9","35","1","2","0","0","0","0","5","34.3","6.9","0.2%"
"47","Maxx Williams (ARI)","15","19","202","13.5","28","5","1","0","0","0","0","16","33.7","2.1","0.2%"
"48","Anthony Firkser (TEN)","14","24","204","14.6","39","5","1","0","0","0","0","15","33.4","2.2","4.1%"
"49","Rhett Ellison (FA)","18","28","167","9.3","31","3","1","0","0","0","0","10","31.7","3.2","0.0%"
"50","Logan Thomas (WAS)","16","28","173","10.8","17","0","1","0","0","0","0","16","31.3","2.0","93.1%"
"51","Marcedes Lewis (GB)","15","19","156","10.4","25","2","1","0","0","0","0","16","29.1","1.8","0.1%"
"52","Dan Arnold (CAR)","8","14","127","15.9","37","3","2","0","0","0","0","6","28.7","4.8","1.0%"
"53","Ross Dwelley (SF)","15","22","91","6.1","25","1","2","0","0","0","0","16","28.6","1.8","0.1%"
"54","Ian Thomas (CAR)","16","30","136","8.5","19","0","1","0","0","0","0","16","27.6","1.7","0.2%"
"55","Derek Carrier (LV)","13","19","108","8.3","25","2","1","1","27","0","0","16","26.0","1.6","0.0%"
"56","Benjamin Watson (FA)","17","24","173","10.2","26","3","0","0","0","0","0","10","25.8","2.6","3.5%"
"57","Matt LaCosse (NE)","13","19","131","10.1","24","3","1","0","0","0","0","12","25.6","2.1","0.0%"
"58","Jaeden Graham (ATL)","9","10","149","16.6","53","3","1","0","0","0","0","16","25.4","1.6","0.0%"
"59","Nick Vannett (NO)","17","22","166","9.8","18","0","0","0","0","0","0","16","25.1","1.6","0.1%"
"60","Jeff Heuerman (FA)","14","20","114","8.1","26","1","1","0","0","0","0","14","24.4","1.7","0.0%"
"61","Nick O'Leary (FA)","13","18","109","8.4","19","0","1","0","0","0","0","12","23.4","2.0","0.0%"
"62","Vernon Davis (FA)","10","19","123","12.3","48","1","1","0","0","0","0","4","23.3","5.8","2.2%"
"63","Jesse James (CHI)","16","27","142","8.9","23","1","0","0","0","0","0","16","22.2","1.4","0.0%"
"64","Robert Tonyan (GB)","10","15","100","10.0","28","2","1","0","0","0","0","11","21.0","1.9","87.8%"
"65","Ryan Izzo (HOU)","6","9","114","19.0","41","3","1","0","0","0","0","6","20.4","3.4","0.0%"
"66","Hale Hentges (FA)","8","14","103","12.9","24","2","1","0","0","0","0","11","20.3","1.8","0.0%"
"67","Andrew Beck (DEN)","9","12","90","10.0","29","1","1","1","3","0","0","16","20.0","1.3","0.0%"
"68","Seth DeValve (FA)","12","18","140","11.7","20","1","0","0","0","0","0","12","20.0","1.7","0.0%"
"69","Josh Perkins (FA)","9","13","87","9.7","24","1","1","0","0","0","0","5","19.2","3.8","0.0%"
"70","Virgil Green (FA)","9","13","78","8.7","15","0","1","0","0","0","0","15","18.3","1.2","0.0%"
"71","MyCole Pruitt (SF)","6","8","90","15.0","42","2","1","0","0","0","0","16","18.0","1.1","0.0%"
"72","Daniel Brown (NYJ)","7","11","72","10.3","24","2","1","0","0","0","0","16","16.7","1.0","0.0%"
"73","Jesper Horsted (CHI)","8","10","87","10.9","20","1","1","0","0","0","1","6","16.7","2.8","0.0%"
"74","Tyler Kroft (NYJ)","6","14","71","11.8","20","1","1","0","0","0","0","12","16.1","1.3","0.1%"
"75","Tommy Sweeney (BUF)","8","13","114","14.3","29","3","0","0","0","0","0","6","15.4","2.6","0.1%"
"76","Trey Burton (FA)","14","24","84","6.0","16","0","0","0","0","0","0","9","15.4","1.7","0.1%"
"77","Ben Braunecker (FA)","6","11","59","9.8","18","0","1","0","0","0","0","11","14.9","1.4","0.0%"
"78","Stephen Carlson (CLE)","5","7","51","10.2","21","1","1","0","0","0","0","9","13.6","1.5","0.0%"
"79","Mo Alie-Cox (IND)","8","11","93","11.6","21","1","0","0","0","0","0","16","13.3","0.8","0.8%"
"80","Geoff Swaim (TEN)","13","17","65","5.0","9","0","0","0","0","0","0","6","13.0","2.2","0.1%"
"81","Troy Fumagalli (NE)","6","9","38","6.3","9","0","1","0","0","0","0","11","12.8","1.2","0.0%"
"82","J.P. Holtz (CHI)","7","8","91","13.0","30","1","0","0","0","0","0","15","12.6","0.8","0.0%"
"83","David Njoku (CLE)","5","10","41","8.2","18","0","1","0","0","0","0","4","12.6","3.2","1.0%"
"84","Luke Willson (SEA)","8","10","79","9.9","17","0","0","0","0","0","0","9","11.9","1.3","0.0%"
"85","Adam Shaheen (MIA)","9","13","74","8.2","18","0","0","0","0","0","1","8","11.9","1.5","0.0%"
"86","Lee Smith (ATL)","4","5","31","7.8","9","0","1","0","0","0","0","16","11.1","0.7","0.0%"
"87","Blake Bell (KC)","8","15","67","8.4","30","1","0","0","0","0","0","15","10.7","0.7","0.1%"
"88","Durham Smythe (MIA)","7","14","65","9.3","24","1","0","0","0","0","0","16","10.0","0.6","0.1%"
"89","Tyler Conklin (MIN)","8","10","58","7.3","20","1","0","0","0","0","0","16","9.8","0.6","0.2%"
"90","Luke Stocker (TEN)","8","14","53","6.6","18","0","0","0","0","0","0","15","9.3","0.6","0.0%"
"91","Cethan Carter (MIA)","2","3","13","6.5","8","0","1","0","0","0","0","15","8.3","0.6","0.0%"
"92","Clive Walford (FA)","4","8","57","14.3","19","0","0","0","4","0","0","8","8.1","1.0","0.0%"
"93","Deon Yelder (WAS)","3","4","50","16.7","24","1","0","0","0","0","0","10","6.5","0.7","0.0%"
"94","Lance Kendricks (FA)","3","7","50","16.7","24","1","0","0","0","0","0","12","6.5","0.5","0.0%"
"95","Trevon Wesco (NYJ)","2","3","47","23.5","32","1","0","1","2","0","0","16","5.9","0.4","0.0%"
