"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Travis Kelce (KC)","105","145","1,416","13.5","45","0","11","0","0","0","1","15","260.3","17.4","99.8%"
"2","Darren Waller (LV)","107","145","1,196","11.2","38","0","9","0","0","0","2","16","225.1","14.1","99.7%"
"3","Robert Tonyan (GB)","52","59","586","11.3","45","0","11","0","0","0","0","16","150.6","9.4","87.8%"
"4","T.J. Hockenson (DET)","67","101","723","10.8","51","0","6","1","0","0","1","16","141.8","8.9","96.5%"
"5","Mark Andrews (BAL)","58","88","701","12.1","39","0","7","0","0","0","0","14","141.1","10.1","99.1%"
"6","Logan Thomas (WAS)","72","110","670","9.3","30","0","6","3","5","0","0","16","140.6","8.8","93.1%"
"7","Mike Gesicki (MIA)","53","85","703","13.3","70","0","6","0","0","0","0","15","132.8","8.9","82.0%"
"8","Rob Gronkowski (TB)","45","77","623","13.8","48","0","7","0","0","0","0","16","126.8","7.9","68.0%"
"9","Hayden Hurst (ATL)","56","88","571","10.2","42","0","6","0","0","0","0","16","121.1","7.6","3.2%"
"10","Jonnu Smith (NE)","41","65","448","10.9","63","0","8","2","4","1","0","15","119.7","8.0","60.7%"
"11","Jimmy Graham (CHI)","50","76","456","9.1","30","0","8","0","0","0","0","16","118.6","7.4","1.4%"
"12","Noah Fant (DEN)","62","93","673","10.9","37","0","3","0","0","0","0","15","118.3","7.9","85.1%"
"13","Hunter Henry (NE)","60","93","613","10.2","33","0","4","0","0","0","0","14","115.3","8.2","43.2%"
"14","Dalton Schultz (DAL)","63","89","615","9.8","28","0","4","0","0","0","1","16","115.0","7.2","1.6%"
"15","Eric Ebron (PIT)","56","91","558","10.0","27","0","5","0","0","0","1","15","113.8","7.6","49.4%"
"16","Evan Engram (NYG)","63","109","654","10.4","53","0","1","6","26","1","1","16","109.5","6.8","54.5%"
"17","Jared Cook (LAC)","37","60","504","13.6","46","0","7","0","0","0","1","15","108.9","7.3","9.7%"
"18","Tyler Higbee (LAR)","44","60","521","11.8","44","0","5","1","1","0","0","15","106.2","7.1","27.7%"
"19","George Kittle (SF)","48","63","634","13.2","44","0","2","2","17","0","0","8","101.1","12.6","99.8%"
