"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Davante Adams (GB)","115","149","1,374","11.9","56","0","18","0","0","0","1","14","300.9","21.5","99.8%"
"2","Tyreek Hill (KC)","87","135","1,276","14.7","75","0","15","13","123","2","0","15","285.4","19.0","99.8%"
"3","Stefon Diggs (BUF)","127","166","1,535","12.1","55","0","8","1","1","0","0","16","265.1","16.6","99.8%"
"4","Calvin Ridley (ATL)","90","143","1,374","15.3","63","0","9","5","1","0","1","15","236.5","15.8","99.5%"
"5","DeAndre Hopkins (ARI)","115","160","1,407","12.2","60","0","6","1","1","0","2","16","230.3","14.4","99.8%"
"6","Justin Jefferson (MIN)","88","125","1,400","15.9","71","0","7","1","2","0","0","16","230.2","14.4","99.7%"
"7","D.K. Metcalf (SEA)","83","129","1,303","15.7","62","0","10","0","0","0","1","16","229.8","14.4","99.8%"
"8","Adam Thielen (MIN)","74","108","925","12.5","51","0","14","3","15","0","0","15","217.0","14.5","98.1%"
"9","Tyler Lockett (SEA)","100","132","1,054","10.5","47","0","10","0","0","0","0","16","215.4","13.5","96.7%"
"10","Mike Evans (TB)","70","109","1,006","14.4","50","0","13","0","0","0","0","16","213.6","13.4","99.3%"
"11","A.J. Brown (TEN)","70","106","1,075","15.4","73","0","11","0","0","0","1","14","212.5","15.2","99.6%"
"12","Allen Robinson II (CHI)","102","151","1,250","12.3","42","0","6","1","-1","0","0","16","211.9","13.2","99.2%"
"13","Robert Woods (LAR)","90","129","936","10.4","56","0","6","24","155","2","1","16","200.1","12.5","97.1%"
"14","Keenan Allen (LAC)","100","147","992","9.9","28","0","8","1","-1","0","2","14","195.1","13.9","99.4%"
"15","Brandin Cooks (HOU)","81","119","1,150","14.2","57","0","6","0","0","0","0","15","191.5","12.8","89.0%"
"16","Amari Cooper (DAL)","92","130","1,114","12.1","69","0","5","6","14","0","0","16","190.8","11.9","98.1%"
"17","Marvin Jones Jr. (JAC)","76","115","978","12.9","43","0","9","0","0","0","0","16","189.8","11.9","62.8%"
"18","JuJu Smith-Schuster (PIT)","97","128","831","8.6","31","0","9","0","0","0","1","16","185.6","11.6","92.3%"
"19","Chase Claypool (PIT)","62","109","873","14.1","84","0","9","10","16","2","1","16","183.9","11.5","91.1%"
"20","CeeDee Lamb (DAL)","74","111","935","12.6","52","0","5","10","82","1","1","16","180.7","11.3","97.5%"
"21","Terry McLaurin (WAS)","87","134","1,118","12.9","68","0","4","2","30","0","1","15","180.3","12.0","99.2%"
"22","D.J. Moore (CAR)","66","118","1,193","18.1","74","0","4","2","22","0","0","15","178.5","11.9","95.1%"
"23","Diontae Johnson (PIT)","88","144","923","10.5","47","0","7","3","15","0","1","15","177.8","11.9","94.6%"
"24","Robby Anderson (CAR)","95","136","1,096","11.5","75","0","3","4","15","0","1","16","176.7","11.0","89.3%"
"25","Curtis Samuel (WAS)","77","97","851","11.1","44","0","3","41","200","2","0","15","173.6","11.6","82.6%"
"26","Cole Beasley (BUF)","82","107","967","11.8","35","0","4","0","0","0","0","15","166.5","11.1","68.0%"
"27","Cooper Kupp (LAR)","92","124","974","10.6","55","0","3","4","33","0","1","15","162.7","10.8","94.3%"
"28","Will Fuller V (MIA)","53","75","879","16.6","77","0","8","1","0","0","0","11","162.4","14.8","82.6%"
"29","Nelson Agholor (NE)","48","82","896","18.7","85","0","8","0","0","0","0","16","161.6","10.1","26.8%"
"30","Tee Higgins (CIN)","67","108","908","13.6","67","0","6","5","28","0","1","16","161.1","10.1","90.0%"
"31","Corey Davis (NYJ)","65","92","984","15.1","75","0","5","0","0","0","1","14","158.9","11.4","69.3%"
"32","Chris Godwin (TB)","65","84","840","12.9","47","0","7","0","0","0","0","12","158.5","13.2","96.5%"
"33","Brandon Aiyuk (SF)","60","96","748","12.5","49","0","5","6","77","2","0","12","154.5","12.9","90.6%"
"34","Marquise Brown (BAL)","58","100","769","13.3","70","0","8","1","1","0","0","16","154.0","9.6","78.1%"
"35","Tyler Boyd (CIN)","79","110","841","10.6","72","0","4","5","49","0","0","15","153.1","10.2","86.6%"
"36","Jarvis Landry (CLE)","72","101","840","11.7","32","0","3","4","10","1","0","15","152.0","10.1","83.6%"
"37","Russell Gage (ATL)","72","109","786","10.9","35","0","4","2","9","0","0","16","145.1","9.1","25.6%"
"38","Michael Gallup (DAL)","59","105","843","14.3","55","0","5","0","0","0","0","16","143.8","9.0","81.1%"
"39","Jamison Crowder (NYJ)","59","89","699","11.8","69","0","6","1","14","0","0","12","142.5","11.9","29.0%"
"40","T.Y. Hilton (IND)","56","93","762","13.6","50","0","5","0","0","0","0","15","136.2","9.1","58.4%"
"41","Tim Patrick (DEN)","51","79","742","14.5","61","0","6","0","0","0","0","15","135.7","9.0","1.6%"
"42","DeVante Parker (MIA)","63","103","793","12.6","31","0","4","0","0","0","0","14","134.8","9.6","53.3%"
"43","Emmanuel Sanders (BUF)","61","82","726","11.9","51","0","5","1","12","0","0","14","134.3","9.6","6.8%"
"44","Jerry Jeudy (DEN)","52","113","856","16.5","92","0","3","0","0","0","0","16","131.6","8.2","85.8%"
"45","Mike Williams (LAC)","48","85","756","15.8","64","0","5","1","1","0","0","15","129.7","8.6","59.0%"
"46","Sterling Shepard (NYG)","66","90","656","9.9","29","0","3","6","49","1","0","12","129.5","10.8","8.7%"
"47","Laviska Shenault Jr. (JAC)","58","79","600","10.3","36","0","5","18","91","0","0","14","128.1","9.2","84.1%"
"48","Keelan Cole Sr. (NYJ)","55","88","642","11.7","51","0","5","1","2","0","0","16","127.9","8.0","1.0%"
"49","D.J. Chark Jr. (JAC)","53","93","706","13.3","73","0","5","0","0","0","0","13","127.1","9.8","87.3%"
"50","Christian Kirk (ARI)","48","79","621","12.9","80","0","6","2","3","0","0","14","122.4","8.7","3.8%"
