,Player,TDS,CMP,ATT,COMP%,YARDS,Y/A,INT,SACKS,FL,G
55,Blaine Gabbert (TB),6.0,70.0,117.0,0.598,769.0,6.573,4.0,6.0,0.0,12.0
56,Chase Daniel (LAC),7.0,127.0,183.0,0.694,1214.0,6.634,6.0,19.0,0.0,14.0
57,John Wolford (LAR),0.0,22.0,38.0,0.579,231.0,6.079,1.0,2.0,0.0,1.0
58,Phillip Walker (CAR),1.0,32.0,56.0,0.571,368.0,6.571,5.0,4.0,0.0,4.0
59,Taylor Heinicke (WAS),2.0,47.0,76.0,0.618,457.0,6.013,3.0,3.0,0.0,8.0
60,Matt Barkley (FA),3.0,53.0,97.0,0.546,788.0,8.124,4.0,4.0,1.0,9.0
61,Trace McSorley (BAL),1.0,3.0,10.0,0.3,90.0,9.0,0.0,0.0,0.0,3.0
62,Tyrod Taylor (HOU),3.0,62.0,121.0,0.512,714.0,5.901,2.0,15.0,0.0,14.0
63,Chris Streveler (ARI),1.0,11.0,16.0,0.688,105.0,6.562,1.0,2.0,0.0,5.0
64,Ben DiNucci (DAL),0.0,23.0,43.0,0.535,219.0,5.093,0.0,7.0,2.0,3.0
65,Robert Griffin III (FA),1.0,33.0,58.0,0.569,288.0,4.966,4.0,8.0,1.0,14.0
66,Brian Hoyer (NE),4.0,51.0,91.0,0.56,509.0,5.593,5.0,7.0,2.0,11.0
67,Tyler Huntley (BAL),0.0,3.0,5.0,0.6,15.0,3.0,0.0,0.0,0.0,2.0
68,David Blough (DET),4.0,100.0,184.0,0.543,1033.0,5.614,7.0,15.0,0.0,6.0
69,Tommy Stevens (FA),,,,,,,,,,
70,Jameis Winston (NO),52.0,631.0,1015.0,0.622,8176.0,8.055,44.0,76.0,8.0,31.0
71,Joshua Dobbs (PIT),0.0,10.0,17.0,0.588,45.0,2.647,1.0,0.0,0.0,7.0
72,Nathan Peterman (LV),1.0,47.0,86.0,0.547,322.0,3.744,7.0,9.0,0.0,5.0
73,Case Keenum (CLE),29.0,530.0,843.0,0.629,5643.0,6.694,20.0,49.0,5.0,28.0
74,Logan Woodside (TEN),0.0,1.0,3.0,0.333,7.0,2.333,0.0,0.0,0.0,6.0
75,Geno Smith (SEA),0.0,5.0,9.0,0.556,41.0,4.556,0.0,2.0,1.0,7.0
76,AJ McCarron (ATL),0.0,23.0,41.0,0.561,253.0,6.171,1.0,7.0,0.0,7.0
77,Tyler Bray (FA),,,,,,,,,,
78,John Lovett (FA),,,,,,,,,,
79,Feleipe Franks (ATL),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
80,Reid Sinnett (MIA),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
81,Jalen Morton (IND),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
82,Case Cookus (MIN),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
83,Kendall Hinton (DEN),0.0,1.0,9.0,0.111,13.0,1.444,2.0,1.0,0.0,1.0
84,Sam Ehlinger (IND),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
85,Kyle Trask (TB),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
86,K.J. Costello (LAC),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
87,Trey Lance (SF),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
88,Ian Book (NO),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
89,Mac Jones (NE),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
90,Justin Fields (CHI),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
91,Jake Dolegala (NE),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
92,Brian Brohm (BUF),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
93,Tyree Jackson (PHI),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
94,Jake Browning (MIN),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
95,Eric Dungey (CIN),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
96,Clayton Thorson (NYG),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
97,Easton Stick (LAC),0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0
98,Kyle Shurmur (CIN),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
99,Will Grier (CAR),0.0,28.0,52.0,0.538,228.0,4.385,4.0,6.0,1.0,2.0
100,Trevor Lawrence (JAC),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
101,Bryce Perkins (LAR),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
102,James Morgan (NYJ),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
103,Steven Montez (WAS),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
104,Nate Stanley (MIN),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
105,Kellen Mond (MIN),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
106,Shane Buechele (KC),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
107,Anthony Gordon (KC),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
108,Jordan Love (GB),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
109,Jake Fromm (BUF),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
110,Jacob Eason (IND),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
111,Brett Ratliff (TEN),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
112,Devlin Hodges (LAR),5.0,100.0,160.0,0.625,1063.0,6.644,8.0,15.0,1.0,8.0
113,Kai Locksley (MIA),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
114,Kurt Benkert (GB),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
115,Davis Mills (HOU),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
116,Zach Wilson (NYJ),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
117,Danny Etling (MIN),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
118,Adam Froman (ATL),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
119,Ben Chappell (WAS),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
120,Ryan Griffin (TB),0.0,2.0,4.0,0.5,18.0,4.5,0.0,0.0,0.0,2.0
121,David Fales (NYJ),0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,2.0
122,Brett Smith (TB),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
123,Blake Bortles (GB),13.0,244.0,405.0,0.602,2721.0,6.719,11.0,31.0,4.0,17.0
124,Keith Null (CAR),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
125,Joe Webb III (FA),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,19.0
126,Hunter Cantwell (BAL),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
127,Erik Ainge (NYJ),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
128,John David Booty (HOU),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
129,DeShone Kizer (TEN),0.0,20.0,42.0,0.476,187.0,4.452,2.0,4.0,1.0,3.0
130,Cooper Rush (DAL),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,3.0
131,Davis Webb (BUF),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
132,Chad Kelly (IND),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0
133,Drew Stanton (TB),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
134,Alex McGough (SEA),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
135,Kyle Lauletta (CLE),0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
136,Mike White (NYJ),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0
137,Josh Rosen (SF),12.0,275.0,502.0,0.548,2845.0,5.667,19.0,61.0,5.0,20.0
138,Sean Mannion (SEA),0.0,14.0,24.0,0.583,149.0,6.208,2.0,0.0,1.0,6.0
139,Brett Hundley (IND),0.0,5.0,11.0,0.455,49.0,4.455,0.0,2.0,0.0,3.0
140,Trevor Siemian (NO),0.0,3.0,6.0,0.5,3.0,0.5,0.0,2.0,0.0,1.0
141,Kenji Bahar (BAL),0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
142,Matt Schaub (FA),3.0,55.0,74.0,0.743,600.0,8.108,1.0,2.0,1.0,11.0
143,Nate Sudfeld (SF),1.0,6.0,14.0,0.429,54.0,3.857,1.0,2.0,1.0,4.0
144,Tim Boyle (DET),0.0,3.0,4.0,0.75,15.0,3.75,0.0,1.0,0.0,11.0
145,,,,,,,,,,,
146,,,,,,,,,,,
147,,,,,,,,,,,
148,,,,,,,,,,,
149,,,,,,,,,,,
150,,,,,,,,,,,
151,,,,,,,,,,,
152,,,,,,,,,,,
